sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
7,5.016,0.014,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.032517548,0.1856227795,-1.770541592,2.701925412,,,,
8,5.018,0.016,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.429589024,-0.6235783838,-1.194366476,1.964455664,,,,
8,5.018,0.016,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.4819602893,0.1147764832,-0.700092143,0.8576644859,,,,
8,5.018,0.016,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.317436025,-0.5326556356,-0.9187749293,1.692190024,,,,
8,5.018,0.016,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.196205863,0.2719596989,-1.852116773,2.885761392,,,,
9,5.02,0.018,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.509157332,-0.7118737117,-1.233582446,2.075101367,,,,
9,5.02,0.018,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.495608523,0.1376287833,-0.7285981716,0.8918659012,,,,
9,5.02,0.018,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.350650192,-0.6329782921,-0.8952711547,1.739663157,,,,
9,5.02,0.018,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.306036162,0.3712875497,-1.871142809,2.992796792,,,,
10,5.022,0.02,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.560655146,-0.7999999406,-1.241914072,2.148952059,,,,
10,5.022,0.02,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.495220394,0.1633921157,-0.7398221298,0.905139219,,,,
10,5.022,0.02,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.379055411,-0.7254636251,-0.8740036876,1.786609567,,,,
10,5.022,0.02,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.373276955,0.4785390068,-1.846922382,3.04508873,,,,
11,5.024,0.022,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.626649321,-0.8248961238,-1.367832265,2.279782168,,,,
11,5.024,0.022,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.4299655597,0.1538440768,-0.7815871351,0.9052164561,,,,
11,5.024,0.022,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.169726116,-0.8339207068,-0.6448331875,1.574640521,,,,
11,5.024,0.022,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.311775242,0.5471935808,-1.816191652,2.990364142,,,,
12,5.026,0.024,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.644695985,-0.8611417471,-1.431643407,2.344396049,,,,
